0,FED,FEDERATION,United Federation of Planets,SOL,Peaceful,Compassion,Ethical,Idealistic,federation,FEDERATION,TRUE,TRUE,FEDERATION,"The United Federation of Planets is a coalition of worlds bound by a mutual desire for peace, the pursuit of scientific understanding, and trade. By far however, the most numerous of the Federation races is one of the founding members, the Humans of Sol. The people of the Federation live in a society based on the values of liberty and equality. Their strength lies in extremely effective research, which grants them fast access to new technologies. Their high-quality products come at the expense of high resource costs, however. Because of their moral convictions, they quickly show weaknesses in the field of espionage and sabotage by Starfleet intelligence. However when under attack, some citizens of the Federation were known to effectively change their attitude to ""the ends justify the means"". With a fleet of well-rounded starships, the Federation is equally likely to be seen conducting trade, exploration, humanitarian, and diplomatic missions, as they are to be seen conducting military patrols and combat maneuvers. Starfleet is capable of ending battles, but do not want to start them. OUR CONTINUING MISSION: TO EXPLORE STRANGE NEW WORLDS, TO SEEK OUT NEW LIFE AND NEW CIVILIZATIONS, TO BOLDLY GO WHERE NO ONE HAS GONE BEFORE!"
1,ROM,ROMULAN,Romulan Star Empire,ROMULUS,Aggressive,Xenophobia,Ruthless,Materialistic,romulans,ROMULANS,TRUE,TRUE,,ROMULANS,"To outsiders, the Romulans are an enigmatic race. To the Romulans, however, other races have hardly any mystery left, for their talented intelligence agency, the Tal Shiar, has solved each of those mysteries. Romulan interests are protected by a veil of secrecy and covertness, just as their ships are hidden from prying eyes by powerful cloaking technologies. Their ships move undetected in groups until they are close to their unsuspecting victim, before decloaking and destroying their target in the ambush. Reports on Romulan society show it functions on exceptional research achievements. The basic supply of energy and food for the populace is sufficient to meet day-to-day needs, and is rigorously regulated to be resource-saving, as are their fleet maintenance costs; Romulan fleets expect to decimate the enemy before they have any chance at mounting a defense. In the 24th century, the Romulans became famous for their powerful and cost/performance efficient D'deridex class warbirds, which can however be build only slowly, so you shouldn't start a long, or even a multi-border war. Better use the deceptiveness of the Tal Shiar. WHEN KNOWLEDGE IS POWER, BEING UNKNOWN MEANS TO BE UNCONQUERABLE." 
2,KLING,KLINGON,Klingon Empire,KRONOS,Warlike,Indifferent,Honorable,Transactional,klingon,KLINGON,TRUE,TRUE,x,KLINGONS,"The Klingons are some of the most feared warriors in the galaxy. Their quest for glory and honor in battle makes them masters in the field of combat; be it in ground or space-based combat, their weapons arm quickly and strike hard. Some of their warships possess cloaking devices, with which the Klingons strike from the shadows at their prey. Their vigorous industrial forges process countless masses of raw materials, keeping their resource-hungry war machine running, whilst gigantic hunting parties guarantee the population's food supply. However, all things that do not directly serve battle are of lower importance to them and thus are less effective. The Klingons consider espionage a cowardly and dishonorable act, but are willing to defend themselves through internal security as necessary. Since Klingon engineers and scientists are not that qualified, you better conquer other words in order not to fall behind, in comparison to other empires. Minor empires, especially other warmongers respect the Klingon Empire. WHEN FOLLOWING THE WAY OF THE WARRIOR, EVERYDAY IS A GOOD DAY TO DIE!",
3,CARD,CARDASSIAN,Cardassian Union,CARDASSIA,Aggressive,Intolerant,Ruthless,Greedy,cardassian,CARDASSIAN,TRUE,TRUE,x,CARDASSIANS,"The Cardassians use any means necessary to ensure the absolute loyalty of their subjects. A national indoctrination, mixed with effective control methods, promotes an unconditional belief in the Cardassian systems and work ethics, which results in exceptional industrial and mining capacity. These state-promoted plants clearly work far more effectively than their food and energy installations however, and their research advances at a slow rate. Their intelligence services, the Obsidian Order, is their biggest strength, it is known as to be the best of the galaxy. Not even a Cardassian Gul, can order a soup without the Order knowing it. And sometimes people die, after doing the wrong thing... sabotaging other empires military installations, is also a specialty of the Obsidian Order. Cardassian ships continue the principle of community-controlled actions in space. Individually not very efficient, they are developed to attack in tight formations. The individual does not count, only the state does. FOR CARDASSIA!",
4,DOM,DOMINION,Dominion,OMARIAN_NEBULA,Aggressive,Xenophobia,Callous,Transactional,dominion,DOMINION,TRUE,TRUE,,DOMINION,"In the gamma quadrant the Changelings where hunted by non-changelings a.k.a the solids. In their bitterness, the Changelings, founded the Dominion. Now known as The Founders, they breed genetically engineered beings like the Vorta and the Jem´hadar. The latter became an army that subjugated every other race in the gamma quadrant one by one. In the end the entire galaxy will be ruled by the Dominion so that no Changeling needs to fear again. Powerful polaran beam weapons were made to fire though shields, creating heavy damage. However it was shown this worked only with minor races, as all major empires, found quick ways to adapt, technologically. The Dominion, however, has other means for galactic dominion as well. The Changeling shape-shift to any form, which makes them very good in espionage. If working, the Dominion also uses the diplomatic skill of cunning Vorta to create valuable alliances and persuade minors to join them, without a fight. The Jem´hadar, dependent on Ketracel-While, are among the best ground troops an empire can have and are sent if diplomacy fails. After 2000 years of Dominion rule without challengers, there are no species especially skilled in technological advancement, which is the biggest flaw of this empire. Both Vorta and Jem´hadar where designed to view the Founders as near-mythical gods. They know: VICTORY IS LIFE!",
5,BORG,BORG,Borg Collective,UNICOMPLEX,Warlike,Indifferent,Callous,Greedy,borg,BORG,TRUE,TRUE,,BORG,""We are the Borg. You will be assimilated. The Borg are/were a pseudo-species of cybernetic beings, or cyborgs, from the Delta Quadrant. No single individual truly existed within the Borg Collective (with the sole exception of the Borg Queen), as all Borg were linked into a hive mind. Their ultimate goal was the attainment of 'perfection' through the forcible assimilation of diverse sentient species, technologies, and knowledge. In addition to this stronghold in the Delta Quadrant, the Borg also dispatched vessels throughout the galaxy via transwarp conduits. When the Borg encounters other species and new technologies, they will assimilate both the crew and the ship as well, adding their distinctiveness to their own. Individual drones have demonstrated puzzlement at other species' unwillingness to be assimilated, the drones believing in the superiority of their way of life. In fact the Borg are twice as powerful as any other empire, since their cubes are gigantic and almost unbeatable, so: RESISTANCE IS FUTILE!"
6,TERRAN,TERRAN,TERRAN EMPIRE,TERRA,Warlike,Xenophobia,Ruthless,Greedy,terrans,TERRANEMPIRE,TRUE,TRUE,,TERRANEMPIRE,"There are many quantum realities. In one, called the mirror universe, there is an evil ""Federation"", the Terran Empire. Many times the Traveler influenced this universe, something happened that merged this universe with ours. The Terran Empire now competes with the Federation and other Empires in this milky way. The Terran Empire is driven by conquest and will destroy or enslave you if you do not bend to their will. While having almost identical ships as the Federation, they have a higher firepower. Science however is no longer as much of a priority or strength as it is to the Federation. Since the TE is not diplomatic smaller races do not trust the TE, but they fear it. Their defensive Intelligence is not very good, as they are always traitors. The expansion of the Terran Empire is always done by conquest and subjugation, however sometimes the Empire prefers allies, if they are more powerful than themselves. LONG LIVE THE EMPIRE!" 
7,ACAMARIANS,ACAMARIANS,ACAMARIANS,ACAMA,Aggressive,Intolerant,Ruthless,Transactional,acamarians,ACAMARIANS,TRUE,FALSE,,ACAMARIANS,The Acamarians wish to preserve their social structure. Will we take steps to ensure that they can?,
8,AKAALI,AKAALI,AKAALI,AKAALI,Peaceful,Indifferent,Regulated,Egalitarian,akaali,AKAALI,FALSE,FALSE,,AKAALI,"The Akaali are a primitive culture still finding their way, but they are skilled in managing the few resources they have. Any interaction in current planetary affairs would be inadvisable though, for it would hinder rather than benefit their development.",
9,AKRITIRIANS,AKRITIRIANS,AKRITIRIANS,AKRITIRI,Aggressive,Intolerant,Ruthless,Materialistic,akritirians,AKRITIRIANS,TRUE,FALSE,,AKRITIRIANS,"The Akritirian people are governed by an oppressive and often brutal regime that values obedience above all else, and they are unforgiving if common order is compromised. Their government should be approached with caution.",
10,ALDEANS,ALDEANS,ALDEANS,ALDEA,Peaceful,Intolerant,Honorable,Idealistic,aldeans,ALDEANS,FALSE,FALSE,,ALDEANS,"The Aldeans are a sophisticated culture, but value their isolationism. If we are to maintain diplomatic relations with them, we must be patient, but the eventual benefits will be immense.",
11,ALGOLIANS,ALGOLIANS,ALGOLIANS,ALGOL,Peaceful,Sympathetic,Ethical,Egalitarian,algolians,ALGOLIANS,FALSE,FALSE,,ALGOLIANS,The Algolians pride themselves on their distinctive gift for intellectual capacity and diversity. They would be an asset to our cultural exchange group.,
